component_name,weight,condition
current_attend_comp,4,"$(formal_schl_stat == ""never_formal"" | ""drop_out_formal"") / agegrp_3_18_sum >= 0.01 & < 0.3"
current_attend_comp,5,"$(formal_schl_stat == ""never_formal"" | ""drop_out_formal"") / agegrp_3_18_sum = 0"
never_attend_comp,2,"$(formal_schl_stat == ""never_formal"") > 0"
barrier_educ_comp,1,"education_barrier_main == ""school_fees"" | ""out_of_school_long"" | ""cloth_uniform"" | ""helping_home"" | ""begging"" | ""farming"" | ""job_hawking"" | ""disability"" | ""school_nonfunctional"" | ""school_far"" | ""school_full"" | ""school_poor_quality"" | ""school_no_wash"" | ""lack_teachers"""
barrier_educ_comp,2,"education_barrier_main == ""against_formal_edu"" | ""displacement"" | ""insecurity_at_school"" | ""insecurity_on_the_way"" | ""armed_group_occupy"" | ""joined_armed_group"""
barrier_girl_comp,1,"education_barrier_girls == ""marriage"" | ""pregnancy"" | ""menstrual cycle"""
educ_nfi_comp,1,"needs_items == ""school_material"""
education_index,1,(current_attend_comp + never_attend_comp + barrier_educ_comp + barrier_girl_comp + educ_nfi_comp) < 3
education_index,2,(current_attend_comp + never_attend_comp + barrier_educ_comp + barrier_girl_comp + educ_nfi_comp) >= 3 & < 7
education_index,3,(current_attend_comp + never_attend_comp + barrier_educ_comp + barrier_girl_comp + educ_nfi_comp) >= 7 & < 9
education_index,4,(current_attend_comp + never_attend_comp + barrier_educ_comp + barrier_girl_comp + educ_nfi_comp) >= 9
shelter_type_comp,1,"type_shelter == ""transitional_shelter"" | (""masonry_building"" & damage_status == ""yes"") | (""traditional_house"" & damage_status == ""yes"")"
shelter_type_comp,2,"type_shelter == "" makeshift"" | ""emergency_shelter"" | ""tent"""
shelter_type_comp,3,"type_shelter == ""public_building"" | ""open_space"""
shelter_occup_comp,2,"occupancy_status == ""hosted_free"" | (""rented"" & damage_status == ""yes"")"
shelter_occup_comp,3,"occupancy_status == ""squatted_w_permission"" | ""squatted_wo_permission"" | ""hosted_free_ext"""
shelter_damage_comp,1,"damage_status == ""yes"" & damage_severity == ""no_little"""
shelter_damage_comp,2,"damage_status == ""yes"" & damage_severity == ""partially_damaged"""
shelter_damage_comp,3,"damage_status == ""yes"" & damage_severity == ""completely_destroyed"""
shelter_crowd_comp,3,number_families_share > 1
shelter_index,1,(shelter_type_comp + shelter_occup_comp + shelter_damage_comp + shelter_crowd_comp) < 3
shelter_index,2,(shelter_type_comp + shelter_occup_comp + shelter_damage_comp + shelter_crowd_comp) >= 3 & < 6
shelter_index,3,(shelter_type_comp + shelter_occup_comp + shelter_damage_comp + shelter_crowd_comp) >= 6 & < 9
shelter_index,4,(shelter_type_comp + shelter_occup_comp + shelter_damage_comp + shelter_crowd_comp) >= 9
main_income_comp,2,"main_income == ""no_income"" | ""remittance"" | ""begging"""
debt_comp,1,"hh_debt_yn == ""yes"""
cash_access_comp,2,"cash_access == ""no_cash"""
bank_access_comp,1,"bank == ""no"""
waste_coverage_comp,1,"waste_management == ""no"""
mobile_access_comp,1,"aid_access_phone == ""no"""
mobile_access_comp,0.5,"aid_access_phone == ""yes"" & aid_access_internet == ""no"""
security_access_comp,1,"access_gov == ""police_yes"" | ""gov_yes"""
security_access_comp,2,"access_gov == ""both_more_2km"""
earlyrecovery_index,1,(main_income_comp + debt_comp + cash_access_comp + bank_access_comp + waste_coverage_comp + mobile_access_comp + security_access_comp) < 3
earlyrecovery_index,2,(main_income_comp + debt_comp + cash_access_comp + bank_access_comp + waste_coverage_comp + mobile_access_comp + security_access_comp) >= 3 & < 6
earlyrecovery_index,3,(main_income_comp + debt_comp + cash_access_comp + bank_access_comp + waste_coverage_comp + mobile_access_comp + security_access_comp) >= 6 & < 8
earlyrecovery_index,4,(main_income_comp + debt_comp + cash_access_comp + bank_access_comp + waste_coverage_comp + mobile_access_comp + security_access_comp) >= 8
improved_water_comp,3,"water_source_main != ""borehole"" | ""public_tap"" | ""piped"" | ""handpump"" | ""sealed_well"" | ""protected_spring"""
water_consumption_comp,2,water_consumption_total >= 7.5 & < 15
water_consumption_comp,3,water_consumption_total < 7.5
latrine_access_comp,3,"adult_defecate == ""open_space"" | child_defecate == ""open_space"""
water_collect_comp,1,"water_time == ""30min_1h"" | ""1_2h"" | ""2h_more"""
wash_hands_comp,2,"wash_hands == ""ash"""
wash_hands_comp,3,"wash_hands == ""sand"" | ""water_only"" | ""dont_wash_hand"""
wash_index,1,(improved_water_comp + water_consumption_comp + latrine_access_ comp + water_collect_comp + wash_hands_comp) < 3
wash_index,2,(improved_water_comp + water_consumption_comp + latrine_access_ comp + water_collect_comp + wash_hands_comp) >= 3 & < 7
wash_index,3,(improved_water_comp + water_consumption_comp + latrine_access_ comp + water_collect_comp + wash_hands_comp) >= 7 & < 10
wash_index,4,(improved_water_comp + water_consumption_comp + latrine_access_ comp + water_collect_comp + wash_hands_comp) >= 10
fcs_comp,2,fcs_total < 27
fcs_comp,3,fcs_total >= 27 & < 38
rcsi_comp,2,rcsi_total >= 10
firewood_sufficient_comp,1,"safe_enough == ""no"""
firewood_source_comp,1,"safe_fuel_source == ""collect_outside"" | ""trade_for_fuel"" | ""ngo"""
market_barrier_comp,1,"food_barrier_main == ""market_far"" | ""transport_expensive"" | ""food_expensive"" | ""food_not_available_market"" | ""market_insecurity"" | ""movement_restrictions"""
access_land_comp,1,"land_access_need == (""crops"" | ""grazing"") & land_access == ""no"" & main_income == (""agriculture"" | ""livestock"")"
access_land_comp,0.5,"land_access_need == (""crops"" | ""grazing"") & land_access == ""yes_not_enough"" & main_income == (""agriculture"" | ""livestock"")"
access_seeds_inputs_comp,1,"agric_inputs == ""no"" & main_income == (""agriculture"" | ""livestock"")"
access_seeds_inputs_comp,0.5,"agric_inputs == ""yes_not_enough"" & main_income == (""agriculture"" | ""livestock"")"
foodsec_index,1,(fcs_comp + rcsi_comp + firewood_sufficient_comp + firewood_source_comp + market_barrier_comp + access_land_comp + access_seeds_inputs_comp) < 3
foodsec_index,2,(fcs_comp + rcsi_comp + firewood_sufficient_comp + firewood_source_comp + market_barrier_comp + access_land_comp + access_seeds_inputs_comp) >= 3 & < 6
foodsec_index,3,(fcs_comp + rcsi_comp + firewood_sufficient_comp + firewood_source_comp + market_barrier_comp + access_land_comp + access_seeds_inputs_comp) >= 6 & < 8
foodsec_index,4,(fcs_comp + rcsi_comp + firewood_sufficient_comp + firewood_source_comp + market_barrier_comp + access_land_comp + access_seeds_inputs_comp) >= 8
barrier_health_comp,1,"main_health_barrier != ""no_barrier"" | 98 | 99"
barrier_health_comp,2,main_barrier_barrier == ANY2
no_vaccine_comp,2,"measles == ""no"" && penta == ""no"" && polio == ""no"""
illness_comp,1,"sick_2weeks == ""yes"""
illness_comp,2,"sick_2weeks == ""yes"" & sick_illness == ""malaria"" | ""measles"" | ""cholera"""
distance_health_comp,2,"distance_hf == ""2_5km"" | ""more_than_5km"""
birth_attend_comp,1,"birth_lastyear == ""yes"""
birth_attend_comp,2,"birth_who != ""skilled_birthattendant"""
health_index,1,(barrier_health_comp + no_vaccine_comp + illness_comp + distance_health_comp + birth_attend_comp) < 3
health_index,2,(barrier_health_comp + no_vaccine_comp + illness_comp + distance_health_comp + birth_attend_comp) >= 3 & < 6
health_index,3,(barrier_health_comp + no_vaccine_comp + illness_comp + distance_health_comp + birth_attend_comp) >= 6 & < 8
health_index,4,(barrier_health_comp + no_vaccine_comp + illness_comp + distance_health_comp + birth_attend_comp) >= 8
isolated_comp,0.5,num_hh == 1
female_headed_comp,2,"gender_hoh == ""female"""
dependency_ratio_comp,2,($(dependent)/$(non_dependent))>=0.75
child_headed_comp,2,"vulnerability_hh == ""child_hoh"""
plw_comp,1,"vulnerability_hh == ""pregnant"" | ""breastfeeding"""
ill_disabled_comp,1,"vulnerability_hh == ""chronicly_ill"" | ""mentally_disabled"" | ""physically_disabled"""
ch_phase_comp,0.5,"lga = ""NG002010"" | ""NG002013"" | ""NG008002"" | ""NG008003"" | ""NG008007"" | ""NG008008"" | ""NG008009"" | ""NG008011"" | ""NG008013"" | ""NG008014"" | ""NG008016"" | ""NG008019"" | ""NG008020"" | ""NG008021"" | ""NG008023"" | ""NG008024"" | ""NG008025"" | ""NG036002"" | ""NG036003"" | ""NG036004"" | ""NG036005"" | ""NG036007"" | ""NG036008"" | ""NG036011"" | ""NG036012"" | ""NG036015"" | ""NG036016"""
ch_phase_comp,1,"lga = ""NG008015"""
vulnerability_index,1,(isolated_comp + female_headed_comp + dependency_ratio_comp + child_headed_comp + plw_comp + ill_disabled_comp + ch_phase_comp) >= 4
health_coping_comp,2,"wouldseek_treatment == ""wouldnt_seek"""
water_coping_comp,2,"coping_water == (""reduce_drinking"" & ""reduce_washing_bathing"") | (""reduce_drinking"" & ""fetch_further"") | (""reduce_drinking"" & ""spend_money"") | (""reduce_drinking"" & ""buy_on_credit"") | (""reduce_drinking"" & ""drink_cleaning"") | (""reduce_washing_bathing"" & ""fetch_further"") | (""reduce_washing_bathing"" & ""spend_money"") | (""reduce_washing_bathing"" & ""buy_on_credit"") | (""reduce_washing_bathing"" & ""drink_cleaning"") | (""fetch_further"" & ""spend_money"") | (""fetch_further"" & ""buy_on_credit"") | (""fetch_further"" & ""drink_cleaning"") | (""spend_money"" & ""buy_on_credit"") | (""spend_money"" & ""drink_cleaning"") | (""buy_on_credit"" & ""drink_cleaning"")"
livelihood_coping_comp,2,"(f_livelihood_coping_sell_productive_assets == (""yes"" | ""exhausted"") & f_livelihood_coping_withdraw == (""yes"" | ""exhausted"")) | (f_livelihood_coping_sell_productive_assets == (""yes"" | ""exhausted"") & f_livelihood_coping_reduceexpense == (""yes"" | ""exhausted"")) | (f_livelihood_coping_sell_productive_assets == (""yes"" | ""exhausted"") & f_livelihood_coping_harvest_immature == (""yes"" | ""exhausted"")) | (f_livelihood_coping_sell_productive_assets == (""yes"" | ""exhausted"") & f_livelihood_coping_consume_seeds == (""yes"" | ""exhausted"")) | (f_livelihood_coping_sell_productive_assets == (""yes"" | ""exhausted"") & f_livelihood_coping_decreaseexpense_animalcare_fertilizer == (""yes"" | ""exhausted"")) | (f_livelihood_coping_withdraw == (""yes"" | ""exhausted"") & f_livelihood_coping_reduceexpense == (""yes"" | ""exhausted"")) | (f_livelihood_coping_withdraw == (""yes"" | ""exhausted"") & f_livelihood_coping_harvest_immature == (""yes"" | ""exhausted"")) | (f_livelihood_coping_withdraw == (""yes"" | ""exhausted"") & f_livelihood_coping_consume_seeds == (""yes"" | ""exhausted"")) | (f_livelihood_coping_withdraw == (""yes"" | ""exhausted"") & f_livelihood_coping_decreaseexpense_animalcare_fertilizer == (""yes"" | ""exhausted"")) | (f_livelihood_coping_reduceexpense == (""yes"" | ""exhausted"") & f_livelihood_coping_harvest_immature == (""yes"" | ""exhausted"")) | (f_livelihood_coping_reduceexpense == (""yes"" | ""exhausted"") & f_livelihood_coping_consume_seeds == (""yes"" | ""exhausted"")) | (f_livelihood_coping_reduceexpense == (""yes"" | ""exhausted"") & f_livelihood_coping_decreaseexpense_animalcare_fertilizer == (""yes"" | ""exhausted"")) | (f_livelihood_coping_harvest_immature == (""yes"" | ""exhausted"") & f_livelihood_coping_consume_seeds == (""yes"" | ""exhausted"")) | (f_livelihood_coping_harvest_immature == (""yes"" | ""exhausted"") & f_livelihood_coping_decreaseexpense_animalcare_fertilizer == (""yes"" | ""exhausted"")) | (f_livelihood_coping_consume_seeds == (""yes"" | ""exhausted"") & f_livelihood_coping_decreaseexpense_animalcare_fertilizer == (""yes"" | ""exhausted""))"
livelihood_coping_comp,3,"f_livelihood_coping_sell_land_property == (""yes"" | ""exhausted"") | f_livelihood_coping_beg == (""yes"" | ""exhausted"") | f_livelihood_coping_dangerous == (""yes"" | ""exhausted"") | f_livelihood_coping_sell_female == (""yes"" | ""exhausted"") | f_livelihood_coping_child_marriage == (""yes"" | ""exhausted"")"
fuel_coping_comp,2,"safe_coping_main == (""reduce_number_meals"" & ""sell_food_rations"") | (""reduce_number_meals"" & ""undercook"") | (""reduce_number_meals"" & ""raw_food"") | (""reduce_number_meals"" & ""less_preferred_fuel"") | (""reduce_number_meals"" & ""communal_cooking"") | (""sell_food_rations"" & ""undercook"") | (""sell_food_rations"" & ""raw_food"") | (""sell_food_rations"" & ""less_preferred_fuel"") | (""sell_food_rations"" & ""communal_cooking"") | (""undercook"" & ""raw_food"") | (""undercook"" & ""less_preferred_fuel"") | (""undercook"" & communal_cooking"") | (""raw_food"" & ""less_preferred_fuel"") | (""raw_food"" & communal_cooking"") | (""less_preferred_fuel"" & ""communal_cooking"")"
nfi_comp,0.5,$(needs_items) >= 6 && <10
nfi_comp,1,$(needs_items) >= 10
coping_gap_index,1,(health_coping_comp + water_coping_comp + livelihood_coping_comp + rcsi_comp + fuel_coping_comp + nfi_comp) < 3
coping_gap_index,2,(health_coping_comp + water_coping_comp + livelihood_coping_comp + rcsi_comp + fuel_coping_comp + nfi_comp) >= 3 & < 6
coping_gap_index,3,(health_coping_comp + water_coping_comp + livelihood_coping_comp + rcsi_comp + fuel_coping_comp + nfi_comp) >= 6 & < 9
coping_gap_index,4,(health_coping_comp + water_coping_comp + livelihood_coping_comp + rcsi_comp + fuel_coping_comp + nfi_comp) >= 9
people_displacement_comp,1.5,"group == ""idp"""
people_displacement_comp,3,"group == ""idp"" & access_aoo == ""no"""
people_restriction_comp,1.5,"move_restriction_yn == ""restriction_night"" | ""restriction_large_group"" | ""restriction_2km"" | ""restriction_id"" | ""restriction_complete"""
services_facilities_comp,1.5,"(access_infra_educ == ""yes"" & access_infra_educ_affected > 0) | (access_infra_health == ""yes"" & access_infra_health_affected > 0) | (access_infra_wash_affected > 0)"
services_comms_comp,1,"aid_access_phone == ""no"" | (aid_access_phone == ""yes"" & aid_access_internet == ""no"")"
access_assistance_comp,2,"lga == ""NG008016"" | ""NG008027"" | ""NG036012"""
access_route_comp,1.5,"lga == ""NG002003"" | ""NG002008"" | ""NG002012"""
access_uxo_comp,1.5,"lga == ""NG002003"" | ""NG002008"" | ""NG002012"" | ""NG002018"" | ""NG002019"" | ""NG002020"" | ""NG002021"" | ""NG008014"" | ""NG008015"" | ""NG008018"" | ""NG008021"" | ""NG008027"" | ""NG036001"" | ""NG036004"" | ""NG036011"" | ""NG036012"" | ""NG036015"" | ""NG036017"""
impact_index,1,(people_displacement_comp + people_restriction_comp + services_facilities_comp + services_comms_comp + access_assistance_comp + access_route_comp + access_uxo_comp) < 3
impact_index,2,(people_displacement_comp + people_restriction_comp + services_facilities_comp + services_comms_comp + access_assistance_comp + access_route_comp + access_uxo_comp) >= 3 & < 6
impact_index,3,(people_displacement_comp + people_restriction_comp + services_facilities_comp + services_comms_comp + access_assistance_comp + access_route_comp + access_uxo_comp) >= 6 & < 9
impact_index,4,(people_displacement_comp + people_restriction_comp + services_facilities_comp + services_comms_comp + access_assistance_comp + access_route_comp + access_uxo_comp) >= 9
