list_name,name,label::English,label::Hausa,label::Kanuri,State,LGA,Ward,livecope,,,,
radio,dandal,Dandal kura,Dandal kura,Dandal kura,,,,,,,,
radio,demsa,Demsa Cameroon FM,Demsa Cameroon FM,Demsa Cameroon FM,,,,,,,,
radio,deutsche,Deutsche Welle,Deutsche Welle,Deutsche Welle,,,,,,,,
radio,fombina,Fombina FM,Fombina FM,Fombina FM,,,,,,,,
radio,gotel,Gotel FM,Gotel FM,Gotel FM,,,,,,,,
radio,kanem,Kanem FM,Kanem FM,Kanem FM,,,,,,,,
radio,unimaid,Unimaid radio,Unimaid radio,Unimaid radio,,,,,,,,
radio,lafiya,Lafiya Dole,Lafiya Dole,Lafiya Dole,,,,,,,,
radio,peace,Peace FM,Peace FM,Peace FM,,,,,,,,
radio,pulaaku,Pulaaku FM,Pulaaku FM,Pulaaku FM,,,,,,,,
radio,rfi,Radio France Internationale (RFI),Radio France Internationale (RFI),Radio France Internationale (RFI),,,,,,,,
radio,voiceamerica,Voice of America,Voice of America,Voice of America,,,,,,,,
radio,97,Other,97. Wani daban,97. Lai gade,,,,,,,,
radio,98,No response,98. Ba amsa,98. Jawau ba,,,,,,,,
radio,99,Don't know,99. Ban sani ba,99. Not?nyi,,,,,,,,
,,,,,,,,,,,,
radio_time,morning,In the morning,1. Safiya,1. Suwan,,,,,,,,
radio_time,midday,At mid-day,2. Hantsi,2. Dawu kausu yen,,,,,,,,
radio_time,afternoon,In the afternoon,3. Da rana,3. Kajirin,,,,,,,,
radio_time,evening,In the evening,4. Da yamma,4. B?nye,,,,,,,,
,,,,,,,,,,,,
vulnerability,none,None,1. Ko daya,1. Ba ,,,,,,,,
vulnerability,pregnant,Pregnant woman,2. Mace mai ciki,2. Kamu suroa ,,,,,,,,
vulnerability,breastfeeding,Breastfeeding woman,3. Mai shayarwa,3. Kamu nganji k?lia ,,,,,,,,
vulnerability,separated_child,"Child seperated, from parents or usual guardian (separated child)",4. Yaron da ya rabu da iyayensa ko mai kula da shi,4. Tada am kurawanz?a au njit?g?manz?a firzana ,,,,,,,,
vulnerability,unaccompanied_child,"Child seperated from all family, both immediate and expanded (unaccompanied child)",5. Yaron da bai tare da ahalin sa na nesa da na kusa,5.Tada  yalnz? kar?ng?bea-a gade gaps?na-a firzana ,,,,,,,,
vulnerability,chronicly_ill,"Person with chronic illness (diabetes, cancer, tuberculosis, chronic coughing, or any other illness that lasts more than 3 months)",6. Wanda ke fama da matsananciyar cuta ,6 Kam kwasa kurwowua ,,,,,,,,
vulnerability,mentally_disabled,Person with mental disability,"7. Mai tabin hankali ko nakasar: bai iya magana ko jin magana, bai iya tuna abubuwa, ko bai iya koyo ko gane abu, baya iya tafiya da sauransu","7. Kam hangalye mbouz?na: kaz?yi fant?g?ye, kaz?yi awo takt?ye, kaz?yi awowa k?ra-a k?lio-aye, gadesoa ",,,,,,,,
vulnerability,physically_disabled,Person with physical disability,"8. Nakasasshe: Gurgu, kurma, makaho, bebe, da sauransu..","8. Maskin: kaz?yi let?ye, kaz?yi fant?ye, kaz?yi kuruye, kaz?yi manaye( muwa au s?mu kuwuwua) ",,,,,,,,
vulnerability,child_hoh,Child head of household,9. Yaron da yake shugabantar gida,9. Tada shima kura fatobe. ,,,,,,,,
vulnerability,97,Other,97. wani da ban (a fayyace),97 Gadeso (Bayent?) ,,,,,,,,
,,,,,,,,,,,,
breastfeeding_problem,no_issue,No issue experienced,1. Ba a samu matsala ba,1. Ilmu k?nzambibe ba ,,,,,,,,
breastfeeding_problem,not_enouigh_milk,Not enough milk,2. Ba wadataccen ruwan nono,2. Cam s?t?yi ,,,,,,,,
breastfeeding_problem,breast_problems,Brest problems (i.e infection),3. Matsalar nono (kamar ciwo),3. Mazal t?gambe (kwasa) ,,,,,,,,
breastfeeding_problem,not_enough_time,Not enough time,4. Rashin isasshen lokaci,4.Loktu k?ji ba  ,,,,,,,,
breastfeeding_problem,97,Other,97. Wani dallilin,97 Gade ,,,,,,,,
breastfeeding_problem,98,No response,98. Ba amsa,98 Z?awu ba ,,,,,,,,
breastfeeding_problem,99,Don't know,99. Ban sani ba,99 Nong?yi,,,,,,,,
,,,,,,,,,,,,
liquids_24h,no_liquids,No liquids in the past 24 hours,1. Bai samu ba a cikin awa 24 na baya,1. Awa 24 koz?nad?n nji ba ,,,,,,,,
liquids_24h,powdered_milk,Powdered milk,2. Madarar gari,2. Cam rungo ,,,,,,,,
liquids_24h,canned_mlik,Canned milk,3. Madarar Gwangwani,3 Cam gongonbe ,,,,,,,,
liquids_24h,baby_formula,Baby formula,4. Baby formula,4. Cam tadabe ,,,,,,,,
liquids_24h,fermented_milk,Fermented milk (kindirmo),5. kindirmo,5. K?nd?rmu ,,,,,,,,
liquids_24h,animal_mlik,Animal milk,6. Madarar dabbobi,6. Cam dabbabe ,,,,,,,,
liquids_24h,breastmilk,Breastmilk,7. Ruwan nono,7 cam t?gambe ,,,,,,,,
liquids_24h,fruit_juice,Fruit juice,8. Kayan itatuwa,8. Jus tada k?skabe ,,,,,,,,
liquids_24h,water,Water,9. ruwa,9. Nji ,,,,,,,,
liquids_24h,97,Other,97. Wani dalili,97 Gade ,,,,,,,,
liquids_24h,98,No response,98. Ba amsa,98 Z?awu ba ,,,,,,,,
liquids_24h,99,Don't know,99. Ban sani ba,99 Nong?yi,,,,,,,,
,,,,,,,,,,,,
solids_24h,no_other_food,No other foods in the past 24 hours,1. Bai ci wani abinci ba a cikin awa 24 na baya,1. Awa 24 koz?nad?n k?mbu gade ba ,,,,,,,,
solids_24h,grains_roots,"Grains, roots or tubers","2. Hatsi, da kayan sauyu","2. Atam, galisa ",,,,,,,,
solids_24h,nuts_pulses,Nuts or pulses,3. Dangin gyda da tuffa,3. Kolji ,,,,,,,,
solids_24h,dairy,Dairy products,4. Kayan madara,"4.Cam, k?ndawu febe, cukku  ",,,,,,,,
solids_24h,vitamin_a_veg_fruits,"Vitamin A rich fruits and vegetables (mango, watermelon, sweet potato, carrot...)","5. Kayan marmari da ganyaye (Mangwaro, kankana, dankalin haursa, karas) ","5. Tada k?skabe-a kare k?li-a bitamin A mbejima (mangulo, fali, kuduwu, karas,…) ",,,,,,,,
solids_24h,other_fruits_vegetables,Other fruits or vegetables,6.Wasu kayan itatuwa ko ganyaye/,6. Tada k?skabe-a kare k?li-a gade-a ,,,,,,,,
solids_24h,98,No response,98. Ba amsa,98 Z?awu ba ,,,,,,,,
solids_24h,99,Don't know,99. Ban sani ba ,99 Nong?yi,,,,,,,,
,,,,,,,,,,,,
child_weightloss_where,nowhere,Nowhere,1. Ba ko ina,1. Ndamaro g?yi ,,,,,,,,
child_weightloss_where,hospital,Hospital,2. Asibiti,"2, Liitari ",,,,,,,,
child_weightloss_where,phc,PHC,3. PHC,3. liitari gana (PHC) ,,,,,,,,
child_weightloss_where,mobile_clinic,Mobile/Outreach clinic,4. Asibitin sha ka tafi,4. Liitari fomjin ,,,,,,,,
child_weightloss_where,outreach_worker,Village outreach worker,5. Jami'in lafiya na karkara,5. Cidama b?la deyabe ,,,,,,,,
child_weightloss_where,private_doctor,Private doctor,6. Likita mai zaman kan sa,Liita napt? k?lanz?be ,,,,,,,,
child_weightloss_where,shop_seller,Shop/seller,7. Shagon mai saida magani,7. Kanti ,,,,,,,,
child_weightloss_where,traditional_pract,Traditional practicioner,8. Mai maganin gargajiya,8. Kurwunma ,,,,,,,,
child_weightloss_where,pharmacy_dispensary,Pharmacy/dispensary,9. Dakin shan magani,9. Cemis ,,,,,,,,
child_weightloss_where,97,Other,97. Wani wurin,97 Gade ,,,,,,,,
child_weightloss_where,98,No response,98. Ba amsa,98 Z?awu ba ,,,,,,,,
child_weightloss_where,99,Don't know,99. Ban sani ba,99 Nong?yi,,,,,,,,
,,,,,,,,,,,,
otp_distance,less_than_30min,Less than 30 minutes walk,1. <da tafiyar minti 30 a kafa,1. Let? minti < 30-yega  koz?yi ,,,,,,,,
otp_distance,30min_1h,Between 30 minutes - 1 hour walk,2. tafiyar minti 30 zuwa awa daya,2.Let? kate minti 30-a awa 1-an ,,,,,,,,
otp_distance,1_3h,Between 1-3 hours walk,3. Tafiyar awa 1-3,3. Let? kate awa 1-3-ro sad?na ,,,,,,,,
otp_distance,more_than_3h,More than 3 hours walk,4. > da tafiyar awa 3,4. Let? minti > 30-yega koz?na ,,,,,,,,
otp_distance,no_response,No response,98. Ba amsa,98 Z?awu ba ,,,,,,,,
otp_distance,dont_know,Don't know,99. Ban sani ba,99 Nong?yi,,,,,,,,
,,,,,,,,,,,,
rutf_shared_why,not_enough_food,Not enough food,1. Babu wadataccen abinci,1. K?mbuye s?t?yi ,,,,,,,,
rutf_shared_why,not_all_children_receive,Not all children receive supplies,2. Ba ko wane yaro ake kawowa ba,2. Duli sammaso g?yi karewa sawandin ,,,,,,,,
rutf_shared_why,adults_like,Adults like the food,3. Manya ma na son abincin,3. Am kurawaye kmbud? saraana ,,,,,,,,
rutf_shared_why,child_improve,The child was improving,4. Yaron na samun ci gaba,4. Tadad? s?merin ,,,,,,,,
rutf_shared_why,97,Other,97. Wani dalilin,97 Gade ,,,,,,,,
rutf_shared_why,98,No response,98. Ba amsa,98 Z?awu ba ,,,,,,,,
rutf_shared_why,99,Don't know,99. Bansani ba,99 Nong?yi,,,,,,,,
,,,,,,,,,,,,
rutf_sold_why,not_enough_food,Not enough food,1. Ba isasshen abinci,1.K?mbuye s?t?yi ,,,,,,,,
rutf_sold_why,rutf_no_difference,RUTF was not making a difference,2. RUTF bai nuna wani banbanci ,2. RUTF-ye awo matind? s?dinba ,,,,,,,,
rutf_sold_why,rutf_makes_worse,RUTF was making the child more sick,3. RUTF yana karawa yaro rashin lafiya,3. RUTF-ye kundondi tadad?bed? s?rain ,,,,,,,,
rutf_sold_why,child_improve,The child was improving,4. Yaro na samun cigaba,4. Tadad? s?merin  ,,,,,,,,
rutf_sold_why,97,Other,97.Wani dalilin,97 Gade ,,,,,,,,
rutf_sold_why,98,No response,98. Ba amsa,98 Z?awu ba ,,,,,,,,
rutf_sold_why,99,Don't know,99. Ban sani ba,99 Nong?yi,,,,,,,,
,,,,,,,,,,,,
bsfp_distance,less_than_30min,Less than 30 minutes walk,1. <da tafiyar minti 30 a kafa,1. Let? minti < 30-yega  koz?yi ,,,,,,,,
bsfp_distance,30min_1h,Between 30 minutes - 1 hour walk,2. tafiyar minti 30 zuwa awa daya,2.Let? kate minti 30-a awa 1-an ,,,,,,,,
bsfp_distance,1_3h,Between 1-3 hours walk,3. Tafiyar awa 1-3,3. Let? kate awa 1-3-ro sad?na ,,,,,,,,
bsfp_distance,more_than_3h,More than 3 hours walk,4. > da tafiyar awa 3,4. Let? minti > 30-yega koz?na ,,,,,,,,
bsfp_distance,98,No response,98. Ba amsa,98 Z?awu ba ,,,,,,,,
bsfp_distance,99,Don't know,99. Ban sani ba,99 Nong?yi,,,,,,,,
,,,,,,,,,,,,
csb_shared_why,not_enough_food,Not enough food,1. Babu wadataccen abinci,1. K?mbuye s?t?yi ,,,,,,,,
csb_shared_why,rutf_no_difference,Not all children receive supplies,2. Ba ko wane yaro ake kawowa ba,2. Duli sammaso g?yi karewa sawandin ,,,,,,,,
csb_shared_why,rutf_makes_worse,Adults like the food,3. Manya ma na son abincin,3. Am kurawaye kmbud? saraana ,,,,,,,,
csb_shared_why,child_improve,The child was improving,4. Yaron na samun ci gaba,4. Tadad? s?merin ,,,,,,,,
csb_shared_why,97,Other,97. Wani dalilin,97 Gade ,,,,,,,,
csb_shared_why,98,No response,98. Ba amsa,98 Z?awu ba ,,,,,,,,
csb_shared_why,99,Don't know,99. Bansani ba,99 Nong?yi,,,,,,,,
,,,,,,,,,,,,
csb_sold_why,not_enough_food,Not enough food,1. Ba isasshen abinci,1.K?mbuye s?t?yi ,,,,,,,,
csb_sold_why,csb_no_difference,CSB was not making a difference,2. CSB bai nuna wani banbanci ,2. CSB-ye awo matind? s?dinba ,,,,,,,,
csb_sold_why,csb_makes_worse,CSB was making the child more sick,3. CSB yana karawa yaro rashin lafiya,3. CSB-ye kundondi tadad?bed? s?rain ,,,,,,,,
csb_sold_why,child_improve,The child was improving,4. Yaro na samun cigaba,4. Tadad? s?merin  ,,,,,,,,
csb_sold_why,97,Other,97.Wani dalilin,97 Gade ,,,,,,,,
csb_sold_why,98,No response,98. Ba amsa,98 Z?awu ba ,,,,,,,,
csb_sold_why,99,Don't know,99. Ban sani ba,99 Nong?yi,,,,,,,,
,,,,,,,,,,,,
vaccine,yes_mother_reports,"Yes, from mother's report",1. E daga mahaifiyar da ke bada amsa,"1. Aa, rifot yad?ben ",,,,,,,,
vaccine,yes_vaccination_card,"Yes, from vaccination card/record",2. E daga katin,"2. Aa, bab kalimiben ",,,,,,,,
vaccine,no,No,3. a'a,"3, A'a ",,,,,,,,
vaccine,98,No response,98. Ba amsa,98 Z?awu ba ,,,,,,,,
vaccine,99,Don't know,99.Ban sani ba,99 Nong?yi,,,,,,,,
,,,,,,,,,,,,
school_status_form,never_formal,Never attended any formal school,1. Bai taba zuwa makaranta ba,1. Mowonti laa taganasbe ngalte lezanyi,,,,,,,,
school_status_form,drop_out_formal,Dropped out this year,2. An cire shi a wannan shekarar,2. Saa alaan mowontin culowo,,,,,,,,
school_status_form,preschool,Attending preschool/nursery,3. Yana zuwa makarantar yara,3. K?rmaa ro mowonti kawu mawonti badiyarambe d? k?rayin,,,,,,,,
school_status_form,primary_school,Attending primary school,4. Firamari yake,4. K?rmaa ro mowonti badiyarambe k?rajin,,,,,,,,
school_status_form,junior_secondary,Attending junior secondary school,5. Karamar sakandire yake zuwa,5. K?rmaa ro mowonti sakandariye ganama d? k?rajin,,,,,,,,
school_status_form,senior_secondary,Attending senior secondary school,6. Babbar sakandire/gaba da sakandire yake zuwa,6. K?rmaa ro mowonti sakandariye au mowonti fuwuye k?rajin,,,,,,,,
school_status_form,98,No response,98. Ba amsa,98. Jawau ba,,,,,,,,
school_status_form,99,Don't know,99. Ban sani ba,99. Not?nyi,,,,,,,,
,,,,,,,,,,,,
school_status_non,never_nonformal,Never attended any non-formal education,1. Bai taba zuwa wata makaranta ba,1. Ngalte ilmu foto d? hadarz?nyi,,,,,,,,
school_status_non,drop_out_nonformal,Dropped out this year,2. A wannan shekarar aka cire su,2. Saa allan culowo,,,,,,,,
school_status_non,islamia_school,Attending Islamia school,3. Yana zuwa makarantar Islamiyya,3. Mowonti islamiyaye k?rajin,,,,,,,,
school_status_non,accelerated_learning,Attending Accelerated Learning Programme,4. Yana zuwa makarantar shirin karin ilimi,4. Nizam Ilmu k?njobe suro loktu gana laaye lan ,,,,,,,,
school_status_non,98,No response,98. Ba amsa,98. Jawau ba,,,,,,,,
school_status_non,99,Don't know,99. Ban sani ba,99. Not?nyi,,,,,,,,
,,,,,,,,,,,,
education_barrier,no_barrier,No barriers,1. Babu kalubale,1. Kaz?yi dapcin so ba,,,,,,,,
education_barrier,school_fees,Couldn't pay school fees,2. Ba mu iya biyan kudin makaranta,2. Kung?na mowontiye ba,,,,,,,,
education_barrier,out_of_school_long,Child has been out of school too many years to return,3. Yaron mu ya dauki shekaru da yawa daga ficewa daga makaranta,3. Tada d? mowontin ba d? tuss?na mowonti ro walta ro,,,,,,,,
education_barrier,against_formal_edu,Resistance to formal education,4. Ba mu yarda da karatun boko ba,4. Mowonti gomnatiye so k?ra d? wata,,,,,,,,
education_barrier,cloth_uniform,Children lacking appropriate clothing/uniform,5. Yaran mu ba su da kakin makaranta,5. Nduli so d? kaz?mu/unifom mowontiye ba,,,,,,,,
education_barrier,displacement,Displaced by conflict,6. Rikici ya raba mu da muhallan mu,6. Fit?naye tarz?na,,,,,,,,
education_barrier,helping_home,Children busy helping at home,7. Yaran mu na yi mana ayyuka da yawa a gida,7. Nduli d? cida faton sadin,,,,,,,,
education_barrier,begging,Children begging,8. Bara yaran mu ke zuwa,8. Nduli d? ngodozain,,,,,,,,
education_barrier,farming,Planting/harvest season,9. Yaran mu na taimaka mana a ayyukan noma,9. Tada d? kulo bare so banaz?yin,,,,,,,,
education_barrier,job_hawking,Children looked for/found job / hawking,10. Yaran mu na zuwa aiki/talla,10. Tada cida/ talla so s?din,,,,,,,,
education_barrier,disability,Children with disability,"11. Yaron mu na da nakasa, kuma makarantar ba su iya daukar sa",11. Tada d? maskin mowontiye sha s?mowin ba,,,,,,,,
education_barrier,school_nonfunctional,The school is not functional (broken down),12. Makarantar bata aiki (an rufe ta),12. Mowonti d? cidajin ba (wurt?na),,,,,,,,
education_barrier,school_far,Distance to school,13. Makarantar na da nisa,13. Mowonti d? zau ro cint?,,,,,,,,
education_barrier,school_full,"The school is full, won't accept more students",14. Makarantar ta cika/ba su amsar karin dalibai,"14. Mowonti d? s?mbuliona, furawa gade samowin ba",,,,,,,,
education_barrier,school_poor_quality,The school has poor quality education,15. Babu cikakken ilimi a makarantar,15. Mowonti d? ilmu ngalwo sadin ba,,,,,,,,
education_barrier,school_no_wash,Inadequate or no WASH facilities at school,16. Karanci ko rashin kayan wanki a makarantar,16. Karewa lamar n?m ng?la-a nji-a wuz?nama sha Nasaran WASH lan not?na ma d? k?ske mowonti d?n,,,,,,,,
education_barrier,lack_teachers,There are not enough teachers,17. Babu wadatattun malamai,17. Mal?mwa k?z?pk?z?nyi,,,,,,,,
education_barrier,insecurity_at_school,Insecurity on the way to school (real or perceived),"18.Rashin tsaro, za a iya sace mana yara a makarantar","18. Nz?liwo baa, ndulinde d? rakt? ndaltin",,,,,,,,
education_barrier,insecurity_on_the_way,Insecurity in the school area (real or perceived),"19.Rashin tsaro a hanyar makarantar ko yankin da take (tabbaci, ko yiwuwar hakan)",19. Diwal d? au kor mowontiye d? nz?liwo ba  (wa'az?na la t?maataa),,,,,,,,
education_barrier,armed_group_occupy,"There are armed groups occupying the school (military, AOGs, CJTF)","20. Akwai masu makaman da suka mamaye makarantar Sojoji, 'Yan bindiga, 'yan kato da gora)","20. Am balimiya so suro mowonti d? ben mbeji (askvrwa so, karapkaa balimiya so, CJTF so)",,,,,,,,
education_barrier,joined_armed_group,Joined an armed group/military,21. Yaron mu ya shiga aikin soja/'yan ta'adda,21. Tada d? ask?r/karapkaa balimiya ro fokkat?g? ,,,,,,,,
education_barrier,97,Other,97. Wani daban,97. Awo gade,,,,,,,,
education_barrier,98,No response,98. Ba amsa,98. Jawau ba,,,,,,,,
education_barrier,99,Don't know,99. Ban sani ba,99. Not?nyi,,,,,,,,
,,,,,,,,,,,,
education_barrier_girls,no_barrier,No barriers,1. Babu kalubale,1. Kaz?yi dapcin ma ba,,,,,,,,
education_barrier_girls,school_fees,Couldn't pay school fees,2. Ba mu iya biyan kudin makaranta,2. Kung?na mowontiye ba,,,,,,,,
education_barrier_girls,out_of_school_long,Child has been out of school too many years to return,3. Yaron mu ya dauki shekaru da yawa daga ficewa daga makaranta,3. Tada d? mowontin ba d? tuss?na saa kada mowonti ro walta ro ,,,,,,,,
education_barrier_girls,against_formal_edu,Resistance to formal education,4. Ba mu yarda da karatun boko ba,4. Mowonti gomnatiye k?ra wata,,,,,,,,
education_barrier_girls,cloth_uniform,Children lacking appropriate clothing/uniform,5. Yaran mu ba su da kakin makaranta,5. Nduli so d? kaz?mu/unifom mowontiye ba,,,,,,,,
education_barrier_girls,displacement,Displaced by conflict,6. Rikici ya raba mu da muhallan mu,6. Fit?naye tarz?na,,,,,,,,
education_barrier_girls,helping_home,Children busy helping at home,7. Yaran mu na yi mana ayyuka da yawa a gida,7. Nduli d? cida faton sadin,,,,,,,,
education_barrier_girls,begging,Children begging,8. Bara yaran mu ke zuwa,8. Nduli d? ngodozain,,,,,,,,
education_barrier_girls,farming,Planting/harvest season,9. Yaran mu na taimaka mana a ayyukan noma,9. Tada d? kulo bare so banaz?yin,,,,,,,,
education_barrier_girls,job_hawking,Children looked for/found job / hawking,10. Yaran mu na zuwa aiki/talla,10. Tada cida/ talla so s?din,,,,,,,,
education_barrier_girls,disability,Children with disability,"11. Yaron mu na da nakasa, kuma makarantar ba su iya daukar sa",11. Tada d? maskin mowontiye sha s?mowin ba,,,,,,,,
education_barrier_girls,school_nonfunctional,The school is not functional (broken down),12. Makarantar bata aiki (an rufe ta),12. Mowonti d? cidajin ba (wurt?na),,,,,,,,
education_barrier_girls,school_far,Distance to school,13. Makarantar na da nisa,13. Mowonti d? zau ro cint?,,,,,,,,
education_barrier_girls,school_full,"The school is full, won't accept more students",14. Makarantar ta cika/ba su amsar karin dalibai,"14. Mowonti d? s?mbuliona, furawa gade samowin ba",,,,,,,,
education_barrier_girls,school_poor_quality,The school has poor quality education,15. Babu cikakken ilimi a makarantar,15. Mowonti d? ilmu ngalwo sadin ba,,,,,,,,
education_barrier_girls,school_no_wash,Inadequate or no WASH facilities at school,16. Karanci ko rashin kayan wanki a makarantar,16. Karewa lamar n?m ng?la-a nji-a wuz?nama sha Nasaran WASH lan not?na ma d? k?ske mowonti d?n,,,,,,,,
education_barrier_girls,lack_teachers,There are not enough teachers,17. Babu wadatattun malamai,17. Mal?mwa k?z?pk?z?nyi,,,,,,,,
education_barrier_girls,insecurity_at_school,Insecurity on the way to school (real or perceived),"18.Rashin tsaro, za a iya sace mana yara a makarantar","18. . Nz?liwo baa, ndulinde d? rakt? ndaltin",,,,,,,,
education_barrier_girls,insecurity_on_the_way,Insecurity in the school area (real or perceived),"19.Rashin tsaro a hanyar makarantar ko yankin da take (tabbaci, ko yiwuwar hakan)",19. Diwal d? au kor mowontiye d? nz?liwo ba (wa'az?na la t?maataa),,,,,,,,
education_barrier_girls,armed_group_occupy,"There are armed groups occupying the school (military, AOGs, CJTF)","20. Akwai masu makaman da suka mamaye makarantar Sojoji, 'Yan bindiga, 'yan kato da gora)","20. Am balimiya so suro mowonti d? ben mbeji (askvrwa so, karapkaa balimiya so, CJTF so)",,,,,,,,
education_barrier_girls,joined_armed_group,Joined an armed group/military,21. Yaron mu ya shiga aikin soja/'yan ta'adda                     ,21. Tada d? ask?r/karapkaa balimiya ro fokkat?g?  ,,,,,,,,
education_barrier_girls,marriage,Marriage,22. Aure,22. Lorusa,,,,,,,,
education_barrier_girls,pregnancy,Pregnancy,23. juna biyu,23. Suro gota,,,,,,,,
education_barrier_girls,menstrual_cycle,Menstrual cycle,24. Tana fuskantar matsalar al'adar wata-wata,24. Kaz?yi laa nanka ro au wajib nz? k?nshe nanka ro,,,,,,,,
education_barrier_girls,97,Other,97. Wani daban,97. Dalil gade,,,,,,,,
education_barrier_girls,98,No response,98. Ba amsa,98. Jawau ba,,,,,,,,
education_barrier_girls,99,Don't know,99. Ban sani ba,99. Not?nyi,,,,,,,,
,,,,,,,,,,,,
cashforeducation,no_support_needed,Do not want support,1. Ba mu da bukatar tallafi,1. Bana so m?rad?ng?nyi,,,,,,,,
