type,name,label::English,label::Hausa,label::Kanuri,hint::English,hint::Hausa,hint::Kanuri,required,choice_filter,appearance,relevant,constraint,constraint_message::English,constraint_message::Hausa,constraint_message::Kanuri,repeat_count,calculation,default
note,check2,The household is not the correct category. Please end the interview and do not save the form. Move on to the household on the immediate right. ,Kuskure - Gidan baya daga cikin rukunin da yake dai dai. A duba a tabbatar da cewa ba'ayi kuskure ba a tambayar da ta gabata. Idan ba haka ba a tsayar da tambayoyin kuma kada a shigar cikin fom. A matsa ga gida mafi kusa a bangaren dama,"Tare: Fatorid? matimnad? g?yi. Mart?g?ne wune wande koro ngawobed?n tare dimi. Ad? g?yiga, wande korod? dimi kuru wande fomd? yimbulimi. Fatori foto k?mburambed?ro lene.",,,,yes,,,not(${status_group}=${group}),,,,,,,
select_one yn,consent,"We are from REACH / PLAN / CRS / Malteser International, and we are conducting this assessment to understand the needs of people in the affected communities in the North-East of Nigeria. We share our results with humanitarian organizations so they can better plan and organize their responses. Today, we randomly selected your household to do an assessment. You will not receive anything for participating, and if you choose not to participate it will not affect your ability to receive humanitarian services. The interview will take about 45 minutes. Do you agree to participate?","Mu jami'ai ne daga REACH / PLAN / CRS / Malteser International,  kuma muna gudanar da wannan bincike ne domin gano bukatun mutanen da abun ya shafa a yankin Arewa maso Gabashin Nigeria. muna tura sakamakon mu ga kungiyoyin agaji na duniya domin taimaka masu kan tsari da shirin da za su yi na taimakawa. a yau, mun fado gidan ku domin zantawa. Ba za ku samu wani tukuici ba don kun bamu amsa, sannan kuma ko da kun ki shiga cikin aikin namu, hakan ba zai shafi damar ku ta samun tallafi daga masu bada agaji ba. Zantawar mu za ta iya daukar kamar mintuna 45. shin kun amince mu zanta da ku? ","Anded? REACH / PLAN / CRS / Malteser International-lan kashe, kuru kulashi ad? diyend? dalil m?rad?wa am  Yala-G?di fit?naye zamz?nabe m?rad?wa not? nankaro. Awowa duwo z?awuro fandenad? ande-a karapkawa kanjimalibe-a faidate daji lamarwanza ng?laro fasalza tartipzain. Kud?, fann?mga kulashiro karraiye. R?pt?g?maro abima fand?mba, kuru wan?mi yaye nyiga banawa kanjimalibe fandoro dapcinba..","Assure the respondent that his consent and confidentiality are the highest concern of our organisations, and that s/he can decide to stop the survey at any point if s/he does not feel comfortable anymore","A tabbatarwa masu bada amsa cewa kungiyar mu ta damu da tsare sirrin su, da izininsu sannan kuma suna da damar kin bada amsa ga duk tambayar da ba su gamsu da ita ba","Z?awu k?njomaro tawatk?g?ne amarinz?-a ashirnz?-ad? karapkawandeye saliwinro, kuru hangalnz?be surinyiga sokkubi yaye safiyod? wajin ",yes,,,,,,,,,,
begin group,interview_enter1,,,,,,,,,,${consent}='yes',,,,,,,
select_one yndk,hoh,Are you the head of household?,Kai ne shugaban wannan gida?,Nyiwa kura fatobewo? ,,,,yes,,,,,,,,,,
select_one yndk,needs_answer,"We want to know about the needs, vulnerabilities and the situation of your household, can you answer for the household?","Muna so mu san bukatu, da Matsaloli, da kuma halin da gidan nan ke ciki. Shin za ka iya yin bayani a madadin gidan?",M?rad?wa-a mazalwa-a k?nd?garam-a fann?mbe-a nonteiya raayena. Susu fatod?bero z?awu yimin wa?,,,,yes,,,"not(selected(${hoh},'yes'))",,,,,,,
integer,age_resp,What is your age?,Shekarar ka nawa?,Ku tambuma saan?m ndawu?,,,,yes,,,,.<100,You input a number higher than 100 years. Please recheck,"Ka sanya adadin da ya wuce Shekara 100, sake dubawa","Lamba saa mia 100 koz?na ikk?mma, mart?ne walt?ne wune",,,
note,note_1,"You cannot interview anyone under 18 years of age for this survey. Please check if there is an age-appropriate household member who can answer your questions. If there is, record that person's age","Kuskure - Kada ayi  tambayoyi ga wanda shekarun sa ba su kai 18 ba,  A duba wanda shekarun sa suka isa ya bada amsa ga tambayoyin ku daga cikin mutanen gidan. Idan an samu, a rubuta shekarun sa","Tare - Kam saanz? 18 s?t?yi dawu safiwo ad?yen ba. Mart?g?ne fatod?n kam saanz? naz?g?na raks? z?awu cinma mane. Mbejiga, kamd?be saanz? ruwone.",,,,yes,,,${age_resp} <18,,,,,,,
begin group,interview_enter2,,,,,,,yes,,,,,,,,,,
select_one gender,gender_resp,What is the gender of the respondent?,mMenene jinsin mai bada amsa?,Abi jinsu z?awu k?njomabe?,No need to ask. Only observe and select please.,,,yes,,,,,,,,,,
select_one gender,gender_hoh,What is the gender of the Head of Household?,Menene Jinsin Shugaban gidan?,Abi jinsu Kura Fatobe?,,,,yes,,,"not(selected(${hoh}, 'yes'))",,,,,,,
integer,age_hoh,How old is the Head of Household?,Menene shekarun shugaban gidan,Kura Fatobe tambuna saanz? ndawu?,,,,yes,,,"not(selected(${hoh}, 'yes'))",,,,,,,
select_one marital_status,marital_hoh,What is the marital status of the Head of Household?,Shugaban gidan yana da aure ko bashi da aure?,Kura Fatobed? kamua wa?,,,,yes,,,,,,,,,,
integer,num_hh,Currently how many household members are living in your household (including the respondent)?,Yanzu haka mutane nawa ne a cikin gidan nan (tare da mai bada amsa)?,K?rmaro fann?md?n fatoriwa ndawu? (z?awu k?njoman kunten),A household unit is defined as consisting of one head of household and all individuals residing within the boundaries of the household sharing income and food ,Gida ana nufin kowane gida da ya kunshi Mai gidan da kuma sauran wadanda ke zaune a gidan kuma suke amfani da dukkan kudin gidan da abinci tare,Fatorid? shima fato kura fal kuru am surod?n dawuna samma fandi-a k?mbu-a fal faidatain,yes,,,,.<30,Number of household members seems to high. Please verify what is the number of people just for this ONE household. ,"Kamar yawan mutanen gidan ya yi yawa. A sake dubawa, a tabbatar da mutane nawa ne a wannan gidan.",Adadu am fatoye d? zauro nguu z? na. Mart?ne tawatk?ne adadu am fato ad? tilonz? ye d?.,,,
note,notehhmembers,"For this next section, we will ask about each of the people currently in your household. For the children, we will ask some additionaly questions about their health and education. ","A wannan bangaren, za mu yi tambaya a kan mutanen da ke gidan a yanzu. A bangaren yara, za mu kara da wasu tambayoyi da suka shafi kiwon lafiya da ilimin su.","Sana fuwubed?ro, k?la kam fann?mmin d?ganabewoson nyiga koren. Dulid?, k?la n?lefanza-a ilmunza-ayen nyiga korowa gade koren  ",,,,,,,,,,,,,,
begin repeat,hh_members,,,,,,,,,,,,,,,${num_hh},,
calculate,theloopcount,,,,,,,yes,,,,,,,,,position(..),
text,name_hh,NUMBER ${theloopcount}: What is the name of the household member?,NUMBER ${theloopcount}: A shigar da sunan dan gida,${name_hh}: Mart?g?ne su kam fann?mbe ruwone,,,,yes,,,,,,,,,,
select_one gender,sex_hh,What is the gender of ${name_hh}?,${name_hh}: A shigar da jinsin dan gida,${name_hh}: Mart?g?ne jinsu kam fann?mbe ruwone,,,,yes,,,,,,,,,,
integer,age_hh,What is the age in years of ${name_hh},${name_hh}: A shigar da shekarun dan gida,${name_hh}: Mart?g?ne saa kam fann?mbe ruwone,"If the child is less than 1 year old, put 0","Idan yaron bai kai shekara guda ba, a sanya 0","Tiwald? saa 1 s?t?yiro wollonoga, 0 ruwone",yes,,,,. < 100,You input a number higher than 100 years. Please recheck,"Ka sanya adadin da ya wuce Shekara 100, sake dubawa",Adadu ikk?mma d? saa 100 koz?na Mart?ne walt?ne wune tawatk?ne,,,
integer,age_hh_months,What is the age of ${name_hh} in months?,${name_hh}: Menene shekarun yaro ko watanni?,${name_hh}: Tiwald? k?ntag?nz? ndawu?,,,,yes,,,${age_hh}=0,. < 12,"Must be fewer than 12 months, otherwise count as a full year","Dole ne ya zama kasa da wata 12, ko kuma a sanya masu shekara daya","K?ntau 12 ro ganawo ro walz?, ad? g?nyi ya saa  kaamil ro isapt? yin.",,,0
calculate,agegrp_0_5,,,,,,,yes,,,,,,,,,"if(${age_hh}<5, '1', '0')",
calculate,agegrp_0_6m,,,,,,,yes,,,,,,,,,"if(${age_hh}<1 and ${age_hh_months}<6, '1', '0')",
calculate,agegrp_6m_5,,,,,,,yes,,,,,,,,,"if((${age_hh}<5 and ${age_hh_months}=0 and ${age_hh}>0) or (${age_hh}<0 and ${age_hh_months}>5), '1', '0')",
calculate,agegrp_9m_10,,,,,,,yes,,,,,,,,,"if((${age_hh}<11 and ${age_hh_months}=0 and ${age_hh}>0) or (${age_hh}<1 and ${age_hh_months}>8), '1', '0')",
calculate,agegrp_3_18,,,,,,,yes,,,,,,,,,"if(${age_hh} >=3 and ${age_hh}<=18, 1, 0)",
calculate,agegrp_0_18,,,,,,,yes,,,,,,,,,"if(${age_hh}<=18, '1', '0')",
calculate,calc_eligible_0_6m,,,,,,,yes,,,,,,,,,"if((${age_hh}='0' and ${age_hh_months}<'6'), '1', '0')",
calculate,calc_eligible_0_5,,,,,,,yes,,,,,,,,,"if(${age_hh}<5 , '1', '0')",0
calculate,calc_eligible_6m_5,,,,,,,yes,,,,,,,,,"if((${age_hh}='0' and ${age_hh_months}>5) or (${age_hh}<5 and ${age_hh}>0), '1', '0')",0
calculate,calc_eligible_9m_10,,,,,,,yes,,,,,,,,,"if((${age_hh}='0' and ${age_hh_months}>8) or (${age_hh}<10 and ${age_hh}>0) , '1', '0')",0
calculate,calc_eligible_3_18,,,,,,,yes,,,,,,,,,"if(${age_hh} >=3 and ${age_hh}<18, 1, 0)",0
calculate,calc_eligible_0_18,,,,,,,yes,,,,,,,,,"if(${age_hh}<18, '1', '0')",0
select_multiple vulnerability,vulnerability_hh,Does ${name_hh} fit any of the following criteria or situations?,${name_hh}: Shin ko wannan dan gidan yayi kama da wanda ke da wadannan ka'idoji ko yanayi?,${name_hh}: Kam fann?mbe ndaso yaye shert?wa au k?nd?gawa anyiye lez?na wa?,DO READ ALL choices please and select ALL THAT APPLY,"A KARANTA DUKKAN zabin, sannan a zabi WADANDA SUKA DACE",Karnowad? SAMMA K?RANE kuru AWOWA KALKALZANA karne,yes,,,,"not(selected(., 'none') and count-selected(.)>1) and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)","You cannot select ""none"", ""no response"" or ""don't know"" and another response ","Ba za a iya zaben a'a ba, ko  ban sani ba, ko wata amsar daban","Monz? nyi ye karn?m ba "" ai ma ba"" , "" zawau ba"" , "" nong?nyi"" , kuru zawau gade karn?m ba. ",,,
text,vulnerability_hh_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${vulnerability_hh}, '97')",,,,,,,
begin group,eligible_0_6m,,,,,,,,,,${calc_eligible_0_6m}='1',,,,,,,
select_one yndk,bf_ever,Has ${name_hh} ever been breastfed?,${name_hh}: Ko an taba shayar da wannan yaron nonon uwa?,${name_hh}: Tada ad?ro ngalye yaye t?gam sad?na wa?,,,,yes,,,"selected(${enum_female},'female')",,,,,,,
select_one breastfeeding_problem,breastfeeding_problem,"If yes, is the mother experiencing issues with breastfeeding?","Idan haka ne, ko mahaifiyar sa tana fuskantar wani abu a yayin shayarwar?","Z?awud? aa-ro wollonoga, yad? kaz?yinz? t?gam k?njoye mbeji wa? ",,,,yes,,,${bf_ever}='yes',,,,,,,
text,breastfeeding_problem_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,,,,"selected(${breastfeeding_problem},'97')",,,,,,,
select_multiple liquids_24h,liquids_24h,Has this child had any of the following liquids yesterday during the last 24 hours? Check all that applies,"Ko wannan yaron ya samu wadannan abincin nau'in ruwa a cikin sa'o'I 24 da suka gabata, A fadi wanda ke akwai",Suro awa 24-yed?n tadad? awowa nji-nji anyi s?wand?na wa? Awowad? samma wune,DO READ CHOICES,KARANTA RA'AYOYIN,KARNOWA K?RANE,yes,,,${bf_ever}='yes',"not(selected(.,'no_liquids') and count-selected(.) >1) and not(selected(.,'99') and count-selected(.) >1) and not(selected(.,'98') and count-selected(.) >1) ",,,,,,
select_multiple solids_24h,solids_24h,"Did the child eat any of the following solid, semi-solid or soft foods in the past 24 hours?[check all that apply]","A cikin sa'o'I 24, ko wannan yaron ya ci wani abinci mai tauri, ko tsaka tsakiya, ko mai ruwa-ruwa? A fadi wanda ke akwai","Suro awa 24-yed?n tadad? k?mbu cibbu, au gana cibbu, au t?lala z?wuna wa? [Awowad? samma wune]",DO READ CHOICES,KARANTA RA'AYOYIN,KARNOWA K?RANE,yes,,,${bf_ever}='yes',"not(selected(.,'no_other_food') and count-selected(.) >1) and not(selected(.,'99') and count-selected(.) >1) and not(selected(.,'98') and count-selected(.) >1) ",,,,,,
select_multiple child_weightloss_where,child_weightloss_where,"If the child is losing weight, where would you take him or her?","Idan yaro yana rage nauyi ko yake nuna alamun rage nauyi, ina kuke fara kai shi?","Tadad? ngamjinga/ngamt? badijiya, ndaro burwon sandiga yad?min?",,KARANTA RA'AYOYI DABAN DABAN DIN,,yes,,,,"not(selected(.,'nowhere') and count-selected(.) >1) and not(selected(.,'99') and count-selected(.) >1) and not(selected(.,'98') and count-selected(.) >1) ",,,,,,
end group,eligible_0_6m,,,,,,,,,,,,,,,,,
begin group,eligible_6m_5,,,,,,,,,,${calc_eligible_6m_5}='1',,,,,,,
select_one yn,present,Is ${name_hh} present?,${name_hh}: Yaron yana nan?,${name_hh}: Tadad? mbeji wa? ,"If present, ask to bring the child to take their measurement","Idan yana nan, a kawo shi don a dauki awon sa","Mbejiya, gulle tadad? suwud? ngalro",yes,,,,,,,,,,
integer,muac,Please record the MUAC for ${name_hh} to the nearest 1mm,${name_hh}: Menene MUAC na wannan yaron? (1mm),${name_hh}: Abi MUAC tada ad?bed?? (1mm),"Please record in mm to nearest 1mm. 

DO NOT ROUND THE MEASUREMENT",A dauke shi ta hanyar yin amfani da mm zuwa 1mm mafi kusa                                                      KAR A ZAGAYE AWON,Mart?g?ne mm-lan mm 1-ro kar?ng?woro babro yikke. WANDE NGALD? KURIN?MI ,yes,,,${present}='yes',. >50 and .<200,It is very unlikely your measure is less than 50mm or higher than 200mm for a child under 5 years old. Please recheck.,"Da kamar wuya, awon ya gaza 50mm ba, ko kuma ya haura 200mm ga yaro dan kasa da shekara 5. A sake dubawa.",Ngaln?m d? monz? 50mm cidiyanno waljimba au 200mm saminno waljimba tada saa 5 ye d?. Mart3ne walt?ne wune,,,
select_one yndk,otp,Is ${name_hh} currently enrolled in a nutrition treatment program?,${name_hh}: Ko wannan yaron na cikin tsarin samar da abinci mai gina jiki na (OTP)?,${name_hh}: Tadad? fasal k?mbu nd?nean raant?yero (OTP) shiga ruwozana wa? ,"Nutrition treatment involves making weekly visits to the program, and receiving Plumpynut and checkup for the child. (OTP)","wannan shiri ya kunshi zuwa wajen shirin ko wane mako domin amsar gyadar kwamuso, da kuma duba yaron. (OTP)","Fasal raant? nd?nebed? shima mag?woson ziyara t?din, kuru tadaro Koljind?ne(OTP)   tin kuru shiga kulassain (OTP)",yes,,,${present}='yes' and ${muac}<115,,,,,,,
note,referral,Please refer ${name_hh} to the nearest nutrition center (OTP) before you leave the household. ,Please refer ${name_hh} to the nearest nutrition center (OTP) before you leave the household. ,Please refer ${name_hh} to the nearest nutrition center (OTP) before you leave the household. ,,,,,,,"${present}='yes' and ${muac}<115 and not(selected(${otp},'yes'))",,,,,,,
select_one otp_distance,otp_distance,How far is the nearest facility offering OTP services?,Yaya nisan  wurin da ake samar da aikin OTP yake?, Na k?mbu nd?nean raant?ye (OTP) shiro kar?ng?wo bad? abi n?mcint?nz??,,,,yes,,,"selected(${otp},'yes')",,,,,,,
select_one yndk,rutf_shared,Are the RUTF sachets being shared with other household members?,Ko ana raba sunkin RUTF da sauran mutanen gida?,Ng?r?g?wa RUTF-bed? am fatowa gadebero sadin wa? ,ready-to-use therapeutic foods (RUTFs),Za su iya amfani da nau'in abincin (RUTFs),k?mbuwa n?lefabe dawarrata (RUTFs),yes,,,"selected(${otp},'yes')",,,,,,,
select_multiple rutf_shared_why,rutf_shared_why,"If yes, why?","Idan haka ne, meyasa?","Aa'a ro wallono ma, abi dalil wo?",,,,yes,,,"selected(${rutf_shared},'yes')",,,,,,,
text,rutf_shared_why_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${rutf_shared_why},'97')",,,,,,,
select_one yndk,rutf_sold,Are the full RUTF sachets being sold?,Ana saida sunkin abincin na RUTF,Ng?r?g?wa RUTF-bed? saladin wa?,ready-to-use therapeutic foods (RUTFs),Za su iya amfani da nau'in abincin (RUTFs),k?mbuwa n?lefabe dawarrata (RUTFs),yes,,,"selected(${otp},'yes')",,,,,,,
select_multiple rutf_sold_why,rutf_sold_why,"If yes, why?","Idan haka ne, meyasa?","Z?awud? aa-ro wollonoga,abi nankaro? ",,,,yes,,,"selected(${rutf_sold},'yes')",,,,,,,
text,rutf_sold_why_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${rutf_sold_why},'97')",,,,,,,
select_one yndk,bsfp,Is this child currently benefitting from a Blanket Supplementary Feeding Programme (BSFP)?,Ko wannnan yaron na amfana da shirin ciyarwa na (BSFP)?,K?rmaro tadad? Fasal Ndusoro K?mbu Yurtoye (BSFP)-d?n shi mbeji wa?,,,,yes,,,${present}='yes' and (${muac} < 115),,,,,,,
select_one bsfp_distance,bsfp_distance,How far is the nearest point of distribution for the BSFP?,Yaya nisan  wurin da ake samar da ake raba abincin na BSFP yake?,Na k?mbu nd?nean raant?ye (BSFP) samzain shiro kar?ng?wo bad? abi n?mcint?nz??,Blanket Supplementary Feeding Programme ,Blanket Supplementary Feeding Programme ,BSFP: Fasal K?mbu Nzurtoma Samman Ambaye,yes,,,"selected(${bsfp},'yes')",,,,,,,
select_one yndk,csb_shared,Are the CSB supplies being shared with other household members?,Ko ana raba kayan da CSB ke samarwa da sauran 'yan gida?, CSB sadind? am fatowa gadebero sadin wa? ,Corn soy blend flour - used in the form of porridge for malnourished children under the age of 2,"CSB: nau'in abinci ne da ake hadawa da gero da fulawa a yi kunun su, don ba yara masu karancin abinci mai gina jiki",CSB: Tuskano rungo soyabe- duli k?naaro b?l?mro kartin,yes,,,"selected(${bsfp},'yes')",,,,,,,
select_multiple csb_shared_why,csb_shared_why,"If yes, why?","Idan haka ne, meyasa?","Z?awud? aa-ro wollonoga,abi nankaro? ",,,,yes,,,"selected(${csb_shared},'yes')",,,,,,,
text,csb_shared_why_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${csb_shared_why},'97')",,,,,,,
select_one yndk,csb_sold,Are the full CSB supplies being sold?,Ko ana siyar da kayan da CBS ke samarwa?,CSB sadind? saladin wa? ,,,,yes,,,"selected(${bsfp},'yes')",,,,,,,
select_multiple csb_sold_why,csb_sold_why,"If yes, why?",Idan haka ne meyasa?,"Z?awud? aa-ro wollonoga,abi nankaro? ",,,,yes,,,"selected(${csb_sold},'yes')",,,,,,,
text,csb_sold_why_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${csb_sold_why},'97')",,,,,,,
end group,eligible_6m_5,,,,,,,,,,,,,,,,,
note,ask_vaccine_card,"Show the respondent the child health card, and measles vaccination cards. Ask them if they have them and can show you for ${name_hh}. ","${name_hh}: Nunawa mai amsa tambaya  katin asibitin yara, da na rigakafin kyanda. A tambaye su ko suna da shi kuma za su iya nuna maku shi[SUNA].",${name_hh}: Z?awu k?njomaro kati n?lefabe tadabe-a katiwa kalimibe timin?mbe-a f?leg?ne. Kore nanzan mbejiwaro kuru nyiro [SU] f?lezain.,,,,,,,${calc_eligible_9m_10}='1' or ${calc_eligible_0_5}='1',,,,,,,
begin group,eligble_9m_10,,,,,,,,,,${calc_eligible_9m_10}='1',,,,,,,
select_one vaccine,measles,Has ${name_hh} received any measles vaccine?,Ko ${name_hh} ya sami  rigakafin kyanda?,Tadad? ${name_hh} kalimi timin?mbe s?wand?na wa?,,,,yes,,,,,,,,,,
integer,measles_quant,How many times has ${name_hh} ever received measles vaccine?,Sau nawa ${name_hh} ya samu rigakafin kyanda?,Tadad? ${name_hh} ngalte yaye kalimi timin?mbe ndawuro ciwando?,,,,yes,,,${measles}='yes_mother_reports' or ${measles}='yes_vaccination_card',,,,,,,
end group,eligble_9m_10,,,,,,,,,,,,,,,,,
begin group,eligible_0_5,,,,,,,,,,${calc_eligible_0_5}='1',,,,,,,
select_one vaccine,penta,Has ${name_hh} received any PENTA vaccine shots?,Ko ${name_hh} ya samu dukkan kayyadaddun rigakafin guda uku?,Tadad? ${name_hh} kalimi yakk?d? s?wand?na wa?,"If no card, can ask the mother if the child has been vaccinated for diptheria, whooping cough, tetatnus, influenza or Hepatitis B","Idan babu katin, za a iya tambayar mahaifiyar idan an taba yiwa yaron rigakafin Tari, da Diptheria, da Tetanus, da influenza, ko Ciwon koda","Kati baro wallono maa, Ya daa monz? kor?min shi tada d? kalimi kwasaa diftria ye, kukkuu ye-a,tetonusse-a, influenza ye-a, au hepatayetisse-a shiro sad?na wa ro.",yes,,,,,,,,,,
integer,penta_quant,How many PENTA shots has ${name_hh} ever received?,Sau nawa ${name_hh} ya samu rigakafin Pentavalent?,Tadad? ${name_hh} kalimi yakk?d? ndawuro ciwando?,Max. 3,Ba a son a yiwa yaro sama da allurar rigakafi sau uku a rayuwar sa. A bincika sosai.,Tada ro suro k?n?nganz? ye lan riulaa kalimi ye anyi yakk? a koz?na ro timba diya. Mart?ne walt? ne wune,yes,,,${penta}='yes_mother_reports' or ${penta}='yes_vaccination_card',.<=3,Child should not have received more than 3 shots of this vaccine in their lifetime. Please recheck.,Ba a son a yiwa yaro sama da allurar rigakafi sau uku a rayuwar sa. A bincika sosai.,Tada ro suro k?n?nganz? ye lan riulaa kalimi ye anyi yakk? a koz?na ro timba diya. Martne walt? ne wune,,,
select_one vaccine,polio,Has ${name_hh} received any of the 3 polio (OPV) vaccine?,Ko an yiwa ${name_hh} allurai uku na rigakafin shan inna?,Tadad? ${name_hh} kalimi poliobe yakk?d?n nda yaya s?wand?na wa?,"This vaccine is given as a ""drop""","Wannan rigakafin ""digawa"" ake yi","Kalimi shi ma ad? napt? ""tolt?"" yen sadin",yes,,,,,,,,,,
integer,polio_quant,How many polio (OPV) vaccines has ${name_hh} ever received?,Sau nawa ${name_hh} ya karbi rigakafin shan inna?,Tadad? ${name_hh} kalimi poliobe ndawuro ciwando?,Child should not have received more than 4 shots,Ba a son a yiwa yaro sama da allurar rigakafi sau 4 a rayuwar sa. A bincika sosai. ,Tada ye suro k?n?nganz? yen 4 wa koz?na ro kalimi tolt? ye ad? wande tinyi. Mart?ne walt? ne wune,yes,,,${polio}='yes_mother_reports' or ${polio}='yes_vaccination_card',.<=4,Child should not have received more than 4 shots of this vaccine in their lifetime. Please recheck.,Ba a son a yiwa yaro sama da allurar rigakafi sau uku a rayuwar sa. A bincika sosai.,Tada ye suro k?n?nganz? yen 4 wa koz?na ro kalimi tolt? ye ad? wande tinyi. Mart?ne walt? ne wune,,,
end group,eligible_0_5,,,,,,,,,,,,,,,,,
begin group,eligible_3_18,,,,,,,,,,${calc_eligible_3_18}='1',,,,,,,
select_one school_status_form,formal_schl_stat,What is the current FORMAL school attendance status of ${name_hh}?,${name_hh}: Wace irin makaranta wannan yaro yake yi ta gwamnati?,${name_hh}: Abi k?rmaa ro k?ndaaram moranti ro nduli tamu k?ran nzaye wo?,,,,yes,,,,,,,,,,
select_one school_status_non,informal_schl_stat,What is the current INFORMAL school attendance status of ${name_hh}?,${name_hh}: Yana zuwa wata makaranta da ba ta gwamnati ba?,${name_hh}: Abi k?ndaaram k?ra ilmu fatoye ro tada d?be gaan nz? wo?,"Informal school can include Islamic school, vocational schooling, any other learning that takes place outside of formal government schools

Accelerated Learning Program refers to educational programs aimed at catching children up so they can reenter formal education system. ","Makarantun da ba na hukuma ba su ne kamar makarantun Islamiyya, da na koyon sana'o'i da kuma duk wata makaranta da ba ta gwamnati ba                                                                              Shi kuwa shirin karin ilimi wani shiri ne da zai taimakawa yara su koma makarantun gwamnati","Ilmu fato d? waljin alamanna mowonti Islamiya ye d?gai, mowonti sanya k?lioye so, nda yayi na ilmu t?lin ma mowonti gumnatiyen nguron

Nizam Ilmu k?njobe suro loktu gana laaye lan d? shima ilmu nduli ro k?njo sau sandiya dawart? ro kau moranti gomnatiye ro gaa ro. ",yes,,,,,,,,,,
end group,eligible_3_18,,,,,,,,,,,,,,,,,
end repeat,hh_members,,,,,,,,,,,,,,,,,
calculate,agegrp_0_5_sum,,,,,,,yes,,,,,,,,,sum(${agegrp_0_5}),
calculate,agegrp_0_6m_sum,,,,,,,yes,,,,,,,,,sum(${agegrp_0_6m}),
calculate,agegrp_6m_5_sum,,,,,,,yes,,,,,,,,,sum(${agegrp_6m_5}),
calculate,agegrp_9m_10_sum,,,,,,,yes,,,,,,,,,sum(${agegrp_9m_10}),
calculate,agegrp_3_18_sum,,,,,,,yes,,,,,,,,,sum(${agegrp_3_18}),
calculate,agegrp_0_18_sum,,,,,,,yes,,,,,,,,,sum(${agegrp_0_18}),
begin group,education,,,,,,,,,,${agegrp_3_18_sum}>0,,,,,,,
