list_name,name,label,label::Hausa,state,LGA,Ward
ward,guji_metalari,Guji Metalari,Guji Metalari,Yobe,Bursari,
ward,gulak,Gulak,Gulak,Adamawa,Madagali,
ward,gulani,Gulani,Gulani,Yobe,Gulani,
ward,gulumba,Gulumba,Gulumba,Borno,Bama,
ward,gumna,Gumna,Gumna,Borno,Marte,
ward,gumsa,Gumsa,Gumsa,Yobe,Geidam,
ward,gumshi,Gumshi,Gumshi,Yobe,Yusufari,
ward,gumsuri,Gumsuri,Gumsuri,Borno,Damboa,
ward,gumti,Gumti,Gumti,Adamawa,Toungo,
ward,gunda,Gunda,Gunda,Borno,Biu,
ward,gundu,Gundu,Gundu,Adamawa,Shelleng,
ward,gur,Gur,Gur,Borno,Biu,
ward,gurin,Gurin,Gurin,Adamawa,Fufore,
ward,gurumpawo,Gurumpawo,Gurumpawo,Adamawa,Ganye,
ward,guwal,Guwal,Guwal,Borno,Kwaya_Kusar,
ward,guwo,Guwo,Guwo,Borno,Kaga,
ward,guworam,Guworam,Guworam,Borno,Guzamala,
ward,guya,Guya,Guya,Yobe,Yusufari,
ward,guyaku,Guyaku,Guyaku,Adamawa,Gombi,
ward,guyuk,Guyuk,Guyuk,Adamawa,Guyuk,
ward,guzamala_east,Guzamala East,Guzamala East,Borno,Guzamala,
ward,guzamala_west,Guzamala West,Guzamala West,Borno,Guzamala,
ward,gwadabawa,Gwadabawa,Gwadabawa,Adamawa,Yola_North,
ward,gwalasho,Gwalasho,Gwalasho,Borno,Shani,
ward,gwamba,Gwamba,Gwamba,Adamawa,Demsa,
ward,gwandi,Gwandi,Gwandi,Borno,Kwaya_Kusar,
ward,gwangang_chata,Gwangang Chata,Gwangang Chata,Borno,Hawul,
ward,gwange_i,Gwange I,Gwange I,Borno,Maiduguri,
ward,gwange_ii,Gwange II,Gwange II,Borno,Maiduguri,
ward,gwange_iii,Gwange III,Gwange III,Borno,Maiduguri,
